01-ai/yi-large | 01-ai
adept/fuyu-8b | adept
ai21labs/jamba-1.5-large-instruct | ai21labs
aisingapore/sea-lion-7b-instruct | aisingapore
baai/bge-m3 | baai
bigcode/starcoder2-15b | bigcode
databricks/dbrx-instruct | databricks
deepseek-ai/deepseek-coder-6.7b-instruct | deepseek-ai
deepseek-ai/deepseek-v4-flash-0731 | deepseek-ai
google/codegemma-1.1-7b | google
google/codegemma-7b | google
google/deplot | google
google/diffusiongemma-26b-a4b-it | google
google/gemma-2b | google
google/gemma-3-12b-it | google
google/gemma-3-4b-it | google
google/gemma-4-31b-it | google
google/recurrentgemma-2b | google
ibm/granite-3.0-3b-a800m-instruct | ibm
ibm/granite-3.0-8b-instruct | ibm
ibm/granite-34b-code-instruct | ibm
ibm/granite-8b-code-instruct | ibm
meta/codellama-70b | meta
meta/llama-3.1-70b-instruct | meta
meta/llama-3.1-8b-instruct | meta
meta/llama-3.2-11b-vision-instruct | meta
meta/llama-3.2-1b-instruct | meta
meta/llama-3.2-3b-instruct | meta
meta/llama-3.2-90b-vision-instruct | meta
meta/llama-3.3-70b-instruct | meta
meta/llama-guard-4-12b | meta
meta/llama2-70b | meta
meta/muse-glimmer-30b | meta
microsoft/kosmos-2 | microsoft
microsoft/phi-3-vision-128k-instruct | microsoft
microsoft/phi-3.5-moe-instruct | microsoft
minimaxai/minimax-m3 | minimaxai
mistralai/codestral-22b-instruct-v0.1 | mistralai
mistralai/mistral-7b-instruct-v0.3 | mistralai
mistralai/mistral-large | mistralai
mistralai/mistral-large-2-instruct | mistralai
mistralai/mistral-nemotron | mistralai
mistralai/mixtral-8x22b-v0.1 | mistralai
moonshotai/kimi-k2.6 | moonshotai
nv-mistralai/mistral-nemo-12b-instruct | nv-mistralai
nvidia/ai-synthetic-video-detector | nvidia
nvidia/cosmos-reason2-8b | nvidia
nvidia/embed-qa-4 | nvidia
nvidia/ising-calibration-1.5-31b | nvidia
nvidia/llama-3.1-nemoguard-8b-content-safety | nvidia
nvidia/llama-3.1-nemoguard-8b-topic-control | nvidia
nvidia/llama-3.1-nemotron-51b-instruct | nvidia
nvidia/llama-3.1-nemotron-70b-instruct | nvidia
nvidia/llama-3.1-nemotron-nano-8b-v1 | nvidia
nvidia/llama-3.1-nemotron-nano-vl-8b-v1 | nvidia
nvidia/llama-3.1-nemotron-safety-guard-8b-v3 | nvidia
nvidia/llama-3.1-nemotron-ultra-253b-v1 | nvidia
nvidia/llama-3.2-nemoretriever-1b-vlm-embed-v1 | nvidia
nvidia/llama-3.2-nv-embedqa-1b-v1 | nvidia
nvidia/llama-3.3-nemotron-super-49b-v1 | nvidia
nvidia/llama-3.3-nemotron-super-49b-v1.5 | nvidia
nvidia/llama-nemotron-embed-1b-v2 | nvidia
nvidia/llama-nemotron-embed-vl-1b-v2 | nvidia
nvidia/llama3-chatqa-1.5-70b | nvidia
nvidia/mistral-nemo-minitron-8b-8k-instruct | nvidia
nvidia/nemoretriever-parse | nvidia
nvidia/nemotron-3-embed-1b | nvidia
nvidia/nemotron-3-nano-30b-a3b | nvidia
nvidia/nemotron-3-nano-omni-30b-a3b-reasoning | nvidia
nvidia/nemotron-3-super-120b-a12b | nvidia
nvidia/nemotron-3-ultra-550b-a55b | nvidia
nvidia/nemotron-3.5-content-safety | nvidia
nvidia/nemotron-3.5-lightning-30b-a3b | nvidia
nvidia/nemotron-4-340b-instruct | nvidia
nvidia/nemotron-4-340b-reward | nvidia
nvidia/nemotron-mini-4b-instruct | nvidia
nvidia/nemotron-nano-12b-v2-vl | nvidia
nvidia/nemotron-nano-3-30b-a3b | nvidia
nvidia/nemotron-parse | nvidia
nvidia/neva-22b | nvidia
nvidia/nv-embed-v1 | nvidia
nvidia/nv-embedcode-7b-v1 | nvidia
nvidia/nv-embedqa-e5-v5 | nvidia
nvidia/nv-embedqa-mistral-7b-v2 | nvidia
nvidia/nvclip | nvidia
nvidia/nvidia-nemotron-nano-9b-v2 | nvidia
nvidia/riva-translate-4b-instruct | nvidia
nvidia/riva-translate-4b-instruct-v1.1 | nvidia
nvidia/riva-translate-4b-instruct-v2 | nvidia
nvidia/vila | nvidia
openai/gpt-oss-120b | openai
openai/gpt-oss-20b | openai
poolside/laguna-xs-2.1 | poolside
snowflake/arctic-embed-l | snowflake
stepfun-ai/step-3.7-flash | stepfun-ai
thinkingmachines/inkling | thinkingmachines
writer/palmyra-creative-122b | writer
writer/palmyra-fin-70b-32k | writer
writer/palmyra-med-70b | writer
writer/palmyra-med-70b-32k | writer
z-ai/glm-5.2 | z-ai
zyphra/zamba2-7b-instruct | zyphra
